,IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
190,0,-5458460985938131934,2016-02-04T04:30:19.215Z,1,0,127.88,88,8452,-6639690782514669126,82.77,96,120,,
191,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,1,85.98,0,0,1207135739277432339,0.0,672,1008,,
192,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,78.99,84,161,-3129154375621551414,8.99,24,48,CA,ON
193,1,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,90.7,100,4601,5657218934756058127,0.0,24,48,CA,ON
194,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,101.07,71,7,-5203594887869139290,0.0,48,72,,
195,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,86.05,95,4384,-2572277640783537773,15.86,24,48,CA,ON
196,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,97.26,91,10606,-1177408302343430963,5.0,24,48,,
197,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,102.62,96,35264,6791568714796518563,0.0,96,120,CA,QC
198,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,79.79,98,3293,4143506568603310959,30.01,24,48,US,NY
199,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,105.97,0,0,3016340757275842199,5.54,504,720,CA,ON
200,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,109.13,96,41419,9012427554787096099,13.0,24,48,,
201,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,123.88,95,5535,-8852182251270724705,0.0,24,48,,
202,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,126.3,99,79,-1869213145998141353,0.0,24,48,,
203,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,79.84,93,2521,-5016003493506265192,46.87,24,48,US,VA
204,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,148.21,96,1326,8648764257939339698,0.0,24,48,,
205,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,142.64,0,0,8472191079397046926,6.98,96,120,MY,
206,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,160.0,96,1790,1788801474825896666,9.98,96,120,US,NY
207,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,132.1,0,0,5353140182874674694,40.99,24,48,US,CA
208,0,3147611117024961925,2016-02-04T04:30:23.908Z,0,0,159.9,92,51,8994525145737931518,20.86,144,240,CA,ON
209,0,3147611117024961925,2016-02-04T04:30:23.908Z,1,0,102.71,88,8452,-6639690782514669126,88.76,96,120,,
